GFFermiconstant,LamIn,LamSIN,LamhS,MS,Mh,O_chnl:~Ss ~Ss -> Wp Wm,O_chnl:~Ss ~Ss -> Z Z,O_chnl:~Ss ~Ss -> d3 D3,O_chnl:~Ss ~Ss -> e3 E3,O_chnl:~Ss ~Ss -> g g,O_chnl:~Ss ~Ss -> u2 U2,Omega_h2,Zbosonpolemass,alphasMZSMMSbar,h0 ->  BBAR B,h0 ->  CBAR C,h0 ->  DBAR D,h0 ->  E+ E-,h0 ->  GLUE GLUE,h0 ->  MU+ MU-,h0 ->  PHOT PHOT,h0 ->  SBAR S,h0 ->  TAU+ TAU-,h0 ->  UBAR U,h0 ->  W- W+,h0 ->  Z0 Z0,h0 ->  ss ss,mbmbSMMSbar,mtaupole,mtoppole,muS2,neutron_SD,neutron_SI,proton_SD,proton_SI,O_chnl:~Ss ~Ss -> h h
1.16637e-05,0.26,0.0,0.00676875001,40.0,125.548349,0.0,0.0,0.826146,0.082337,0.046701,0.04195,22.0,91.1887,0.1187,0.482788952,0.0227733052,5.01106155e-07,4.34730048e-09,0.0744429325,0.000194202714,0.002288998,0.000180243437,0.0560573994,9.58737664e-08,0.193346352,0.0211954994,0.146731514,4.18,1.77669,173.5,1189.64745,0.0,6.829e-10,0.0,6.66e-10,0.0
1.16637e-05,0.26,0.0,0.00791234262,40.0,125.548349,0.0,0.0,0.826146,0.082337,0.046701,0.04195,16.5,91.1887,0.1187,0.458154219,0.0216112772,4.75536771e-07,4.12547563e-09,0.0706444161,0.000184293349,0.00217219986,0.000171046356,0.0531970211,9.09817227e-08,0.183480683,0.0201139803,0.190270293,4.18,1.77669,173.5,1120.31764,0.0,9.332e-10,0.0,9.1e-10,0.0
1.16637e-05,0.26,0.0,0.00924914728,40.0000001,125.548349,0.0,0.0,0.826197,0.082343,0.04665,0.041953,12.3,91.1887,0.1187,0.428291895,0.020202662,4.44541458e-07,3.85657864e-09,0.0660398388,0.000172281176,0.00203061666,0.000159897617,0.0497296587,8.50515673e-08,0.171521479,0.0188029584,0.243048179,4.18,1.77669,173.5,1039.27444,0.0,1.275e-09,0.0,1.243e-09,0.0
1.16637e-05,0.26,0.0,0.0108118075,40.0,125.548349,0.0,0.0,0.826197,0.082343,0.04665,0.041953,9.2,91.1887,0.1187,0.39326583,0.0185504716,4.0818649e-07,3.54118445e-09,0.0606390462,0.000158191879,0.00186455115,0.000146821058,0.0456627261,7.80959798e-08,0.157494311,0.0172652369,0.304952325,4.18,1.77669,173.5,944.538833,0.0,1.742e-09,0.0,1.699e-09,0.0
1.16637e-05,0.26,0.0,0.012638482,40.0,125.548349,0.0,0.0,0.826221,0.082346,0.046625,0.041955,6.88,91.1887,0.1187,0.353736079,0.016685841,3.67156965e-07,3.18523657e-09,0.0545438145,0.000142290967,0.00167713278,0.000132063102,0.0410728634,7.02460362e-08,0.141663516,0.0155297938,0.374816165,4.18,1.77669,173.5,833.797479,0.0,2.381e-09,0.0,2.322e-09,0.0
1.16637e-05,0.26,0.0,0.0147737765,40.0,125.548349,0.0,0.0,0.826245,0.082349,0.046602,0.041956,5.13,91.1887,0.1187,0.311017577,0.014670796,3.22817706e-07,2.8005754e-09,0.0479568979,0.000125107373,0.00147459591,0.000116114664,0.0361127496,6.17628601e-08,0.124555696,0.0136543573,0.450315721,4.18,1.77669,173.5,704.346171,0.0,3.253e-09,0.0,3.173e-09,0.0
1.16637e-05,0.26,0.0,0.0172698329,40.0,125.548349,0.0,0.0,0.826374,0.082365,0.046472,0.041965,3.83,91.1887,0.1187,0.266963877,0.0125927692,2.77092592e-07,2.40389136e-09,0.0411641025,0.000107386694,0.00126572859,9.96677464e-05,0.0309976039,5.30145362e-08,0.106913158,0.0117203028,0.52817507,4.18,1.77669,173.5,553.02383,0.0,4.446e-09,0.0,4.335e-09,0.0
1.16637e-05,0.26,0.0,0.0201876025,40.0,125.548349,0.0,0.0,0.826396,0.082367,0.046449,0.041966,2.86,91.1887,0.1187,0.223672345,0.0105506942,2.32158562e-07,2.01407031e-09,0.0344888284,8.99725985e-05,0.00106047487,8.35053746e-05,0.0259709547,4.44175661e-08,0.0895758524,0.00981970909,0.604687384,4.18,1.77669,173.5,376.135304,0.0,6.075e-09,0.0,5.924e-09,0.0
1.16637e-05,0.26,0.0,0.0235983347,40.0,125.548349,0.0,0.0,0.826417,0.08237,0.046427,0.041967,2.13,91.1887,0.1187,0.183099853,0.0086368771,1.90046734e-07,1.64873301e-09,0.0282328126,7.36522415e-05,0.000868112654,6.83581237e-05,0.0212600176,3.63605515e-08,0.0733274621,0.00803848724,0.676394139,4.18,1.77669,173.5,169.36114,0.0,8.301e-09,0.0,8.095e-09,0.0
1.16637e-05,0.26,0.0,0.0275853162,40.0,125.548349,0.0,0.0,0.826438,0.082373,0.046406,0.041969,1.59,91.1887,0.1187,0.146730673,0.00692133154,1.52297692e-07,1.32124466e-09,0.0226249203,5.9022674e-05,0.00069567917,5.47801285e-05,0.0170371337,2.91382439e-08,0.0587624057,0.00644180004,0.740672071,4.18,1.77669,173.5,-72.3478938,0.0,1.134e-08,0.0,1.106e-08,0.0
